σ,σ_ss,n_default,degree,interm,eq_r_l,mean_liq,mean_ib_share,mean_eq_req,mean_n_share
1.001,-1.5,1,1.2,0,0.096142578125,0.07529850657924761,0.14477016326333203,0.11863453574985908,0.6127942532861275
1.001,-1.5,2,1.05,0,0.08559570312499999,0.12148416310794863,0.11762940621684718,0.165802068471259,0.5498804411346853
1.001,-1.5,3,1.35,1,0.076171875,0.13753573272274586,0.16845018449578833,0.14103971298065177,0.5550672909538374
1.001,-1.5,1,1.15,0,0.09375,0.10891794121971961,0.118340669855212,0.16182043509943916,0.4905286727686401
1.001,-1.5,3,1.35,1,0.095703125,0.1169078971761105,0.1339878629659835,0.159582969696245,0.5129099436242209
1.001,-1.5,2,1.4,1,0.08750000000000001,0.07230812367884501,0.16524920241392288,0.1262119344325303,0.5082348219983752
1.001,-1.5,2,1.25,0,0.08066406250000002,0.16632710233012998,0.1370060179786649,0.13636563643271263,0.554578025869539
1.001,-1.5,1,1.35,0,0.08125000000000002,0.07157711232205999,0.15078090330539945,0.11693636246000141,0.5772738244031775
1.001,-1.5,2,1.15,0,0.09765625,0.07781780840997429,0.13009786140769455,0.16221281974696647,0.4828262260824009
1.001,-1.5,1,1.35,1,0.0921875,0.07887184470971567,0.11055103410472134,0.13413816559408925,0.6178701548669596
1.001,-1.5,1,1.25,2,0.08750000000000001,0.0750491068409589,0.12647468376918866,0.14271459104304374,0.47659770997562906
1.001,-1.5,1,1.35,0,0.07421875000000001,0.17628288765797845,0.12793902718402136,0.1183290782175479,0.5792344238872451
1.001,-1.5,1,1.1,0,0.09296875,0.13035632986762066,0.11092953536124285,0.17939939322302698,0.5601372493241227
1.001,-1.5,3,1.45,2,0.08984375000000001,0.06148413851354676,0.1400448238114381,0.1044905481198523,0.665068579635197
2.001,-1.5,2,1.5,2,0.07500000000000001,0.07299236121844424,0.13943323647472033,0.11447855975327939,0.6036321600690345
2.001,-1.5,1,1.1,0,0.07802734375,0.07615688217600912,0.10799287365201757,0.13749960921192908,0.6465447662061833
2.001,-1.5,2,1.15,0,0.07685546875000002,0.06393476242534761,0.12835818211956385,0.12680701233921862,0.5777074212634455
2.001,-1.5,1,1.15,0,0.06875,0.07516439309535684,0.1169754778275418,0.14484137942217196,0.684350611692233
2.001,-1.5,1,1.45,2,0.07363281250000002,0.08241951441245514,0.15421375948587684,0.10482511234287233,0.6293351461824652
2.001,-1.5,1,1.35,1,0.0640625,0.07602245863102519,0.12323173375128897,0.10985092767136126,0.6865423879479807
2.001,-1.5,1,1.05,0,0.08281250000000001,0.06934183990538875,0.12128972108495568,0.17387465174647204,0.497427977548374
2.001,-1.5,3,1.25,1,0.065625,0.11450929854731033,0.10521615180426651,0.133653487738828,0.7050582470736824
2.001,-1.5,2,1.2,1,0.07421875000000001,0.12154846874272345,0.12950467875999136,0.11809109354633592,0.601919491101927
2.001,-1.5,1,1.15,1,0.06875,0.2126572743120123,0.13267404112311718,0.1629422221509773,0.5377995071833293
2.001,-1.5,2,1.2,0,0.078515625,0.10251139587039759,0.10699141958021799,0.13087512192106274,0.7236038378782564
2.001,-1.5,1,1.25,0,0.08652343750000001,0.05917464160545739,0.13930383972635216,0.1262552358743115,0.5147278855979397
2.001,-1.5,1,1.15,1,0.09921875000000001,0.07022172080797648,0.1121253242149069,0.14094116595666792,0.64228669271485
2.001,-1.5,1,1.1,0,0.06523437500000001,0.09119728464066296,0.08588208256648634,0.14468997236211603,0.7151978993831852
2.001,-1.5,1,1.2,0,0.08172607421875001,0.06987747465775584,0.10050321242003722,0.14057489636196904,0.5978910782515529
2.001,-1.5,3,1.15,0,0.08261718750000001,0.12535960071502655,0.11005393654431687,0.13840062344156484,0.6702965617517637
2.001,-1.5,1,0.95,0,0.08447265625,0.07598703775769401,0.1313502288763854,0.14901026620222,0.511864880147905
2.001,-1.5,4,1.3,0,0.09042968750000001,0.09416201076543547,0.1251249956892034,0.14844692699812106,0.5136424402043857
2.001,-1.5,1,1.15,1,0.09999389648437501,0.06887452772243662,0.11651251800876518,0.15539143721244142,0.5180002730313505
2.001,-1.5,4,1.15,0,0.08125000000000002,0.05865190165428265,0.1308204675667822,0.13892766751660954,0.45279662712475244
2.001,-1.5,1,1.15,0,0.099853515625,0.057846382898092144,0.11839136376128179,0.15408369111584266,0.5608915468174992
2.001,-1.5,1,1.2,0,0.0609375,0.16509489481604345,0.12359938817797597,0.1189500092624161,0.6548006077496573
2.001,-1.5,3,1.1,0,0.09193115234375,0.05910917364335526,0.11107468218985021,0.15546469221060538,0.5144821166862431
2.001,-1.5,1,1.45,2,0.08125000000000002,0.16077305048604615,0.12721711884478706,0.11768536867278541,0.6225330328120122
2.001,-1.5,4,1.3,1,0.07734375000000002,0.07793689834258605,0.11142399121271933,0.12252161832038451,0.7012469309003996
2.001,-1.5,1,1.0,1,0.0859375,0.13945461795050132,0.1059882389864384,0.16662718432836815,0.5767059735521407
2.001,-1.5,3,1.1,1,0.069921875,0.09305856702323971,0.11128818438521366,0.1397492521971777,0.6304950633848053
2.001,-1.5,1,1.25,0,0.09995117187500001,0.050371076682465446,0.1285753025581238,0.1264774594414109,0.5819681938772764
2.001,-1.5,3,1.1,0,0.0606658935546875,0.1228965343677221,0.11743782746476646,0.12940723658855566,0.6459074762901652
2.001,-1.5,1,1.0,0,0.07890625000000001,0.0845214503837157,0.09535513772941574,0.17431509641968726,0.5843613419653381
2.001,-1.5,4,1.2,0,0.09843750000000001,0.07371921624133279,0.14118288864715917,0.12503742334877366,0.5664361614901287
2.001,-1.5,1,1.3,1,0.0859375,0.07481988318568497,0.12662945621516425,0.13965764088923507,0.5969044752716901
2.001,-1.5,1,1.3,0,0.072265625,0.06603817540719446,0.1397999582679129,0.12391935423158165,0.5401123005338361
2.001,-1.5,2,1.2,1,0.07500000000000001,0.08942690973072456,0.10387901632582283,0.11382530130898891,0.7366674942176312
2.001,-1.5,1,1.1,1,0.09453125,0.09269282404571959,0.11821425217741949,0.17859581275583167,0.5060990050582528
2.001,-1.5,2,1.15,0,0.07529296875000002,0.06837780663779733,0.12609773429565962,0.12210782095236261,0.6615156843042502
2.001,-1.5,1,1.35,2,0.09979248046875,0.0781233737591187,0.13510418444749175,0.13890039229359355,0.548196073863534
2.001,-1.5,1,1.1,0,0.08427734375000001,0.058689043100853266,0.11387955976917273,0.13784390239034963,0.6163118010286716
2.001,-1.5,3,1.1,0,0.07500000000000001,0.062414658454464464,0.1123288049286946,0.14709219664366205,0.6465426507456031
2.001,-1.5,1,1.4,1,0.08349609375,0.07136138954670693,0.14498133174688008,0.11491672004008772,0.5808651090913367
2.001,-1.5,2,1.05,0,0.0716796875,0.10401860099375344,0.10534326105068882,0.14037273217642474,0.6271586384149246
2.001,-1.5,1,1.25,0,0.06875,0.08600489495955008,0.12641714054976175,0.11214207323195173,0.6646175617499043
2.001,-1.5,1,1.3,1,0.07500000000000001,0.07694283782677262,0.12745723015868834,0.1220168117796772,0.6210886190604511
2.001,-1.5,6,1.1,0,0.076171875,0.09471128231783874,0.13405838261810837,0.12876074529842182,0.6376573892268624
2.001,-1.5,1,1.35,1,0.09062500000000001,0.06969562687648281,0.13877680779701332,0.11760902733801222,0.5851534337444615
2.001,-1.5,1,1.2,0,0.09062500000000001,0.08324683501415162,0.14045393170796489,0.15035081564181277,0.46764988567410465
2.001,-1.5,5,1.35,0,0.06875,0.08750952498006176,0.11980511363816207,0.1157879819722426,0.6837629514646497
