,Date,A5G.IR,ABN.AS,ACA.PA,ALPHA.AT,BAMI.MI,BARC.L,BBVA,BCP.LS,BIRG.IR,BKT.MC,BMPS.MI,BNP.PA,BPE.MI,CABK.MC,CBK.DE,DANSKE.CO,DBK.DE,DNB.OL,EBO.DE,ETE.AT,EUROB.AT,GLE.PA,INGA.AS,ISP.MI,JYSK.CO,KBC.BR,MB.MI,NDA-SE.ST,OTP.BD,PEO.WA,PKO.WA,RAW.DE,SAB.MC,SAN.MC,SEB-A.ST,SHB-A.ST,SWED-A.ST,SYDB.CO,TPEIR.AT,UCG.MI,UNI.MC,stoxx,cor,banks_index,spread,index,spread_ch
4187,2016-01-18,-0.05660380753557426,-0.0253368912498656,-0.06608247999483785,-0.09223298217902087,-0.06726446749832637,-0.021637169391251487,0.0,-0.07764845464379877,-0.009803944993690528,-0.02349052052474332,-0.14755011135857465,-0.023137928874979563,-0.08730799787369947,0.007762821139465803,-0.019853560877176823,-0.018275340351156077,-0.03284677713903439,-0.028526970502814275,-0.00868336634088962,-0.10408920648094366,-0.11397850041252178,-0.02987773142346839,-0.019527715542084545,-0.049964347829046574,-0.02126885973933712,-0.018329167072694275,-0.047892720773170416,-0.01318053324789581,-0.03151674326986209,-0.032600710243532505,-0.055509180906770816,-0.04983109332637414,-0.04522274402264814,-0.012506366305682581,-0.007657925792037834,-0.004960317310142015,-0.004105553948634544,-0.02065049077449821,-0.11737094167946072,-0.05366077527839741,,0.019236813981266088,0.4507343826922994,-0.06726055243333728,6.16,-0.03091784366214534,0.09026548672566359
4192,2016-01-25,-0.03529408464794692,0.010846557028766579,-0.025754235606855302,0.01123594452133525,-0.07087909064989573,-0.046657897229275935,-0.0384024564071237,-0.007999379357967684,-0.03583066847348704,-0.032760865865891664,-0.033333333333333326,-0.028683948346339472,-0.026223710495144603,-0.06478873972522925,-0.03602565775099398,0.003314950848152698,-0.05517634487121037,-0.03716550984430067,0.015833686761675514,0.0240963624697752,-0.024324333032088252,-0.027170085543407607,-0.022946304680680596,-0.02800293868030479,0.02629678541954572,-0.028851571082709415,-0.032320619998026046,-0.002252303724811222,-0.011172224132004138,-0.014487182500244944,-0.021347854412370526,-0.015338675480833452,-0.05347589861947688,-0.04080611788411681,-0.00618046959912677,-0.005853643649961882,-0.0016892063144579028,0.012860082708290754,-0.04117650028743458,-0.0640961548597796,,0.029248262792166968,0.475526183139849,-0.014999038523171637,6.19,0.02708681342843766,0.004870129870129913
4197,2016-02-01,0.03722605955017255,-0.0010395248441580351,-0.009895684300456509,0.0,0.05985906355974269,-0.01720428466796875,-0.01545593630221842,-0.007711538269926099,-0.016447475397383893,-0.0068642235543576735,-0.038461538461538436,-0.009033657103503123,-0.024545496160333857,-0.019424424954535335,-0.0004017386579872051,-0.023822382074631943,-0.004878052912237085,-0.025911679724744285,-0.003792921765137791,0.0120481812348876,0.007989403547976393,-0.01122798335239239,-0.008966518606369989,-0.021390371896551463,-0.016926570834917665,-0.010986963837768982,-0.03122872360950657,-0.009895209068943034,0.010009845749918034,0.018261505562157776,0.00770793253541413,-0.017112824981562524,-0.0036060512303907055,-0.032782697525789994,-0.011543190065731457,-0.017707376252006357,-0.012283708163358109,-0.013466318943851308,0.016574636214070848,-0.008455505005213526,,0.013713553348285945,0.48407551462603604,0.0015617882475436051,5.68,0.013333784658729586,-0.08239095315024247
4202,2016-02-08,0.03754006363045859,-0.07106729280365531,-0.04997687377687943,-0.17647059339140525,-0.09084965629040975,-0.05342189041906642,-0.04407294304187326,-0.013227871522265344,-0.09893987058463816,-0.031455641287440494,-0.11949152542372876,-0.05472042054433046,-0.11934336306231852,-0.06100796402996256,-0.09485947978406561,-0.05445022982452552,-0.09495740139257891,-0.05273438911535755,-0.08876315618506747,-0.29064035590374326,-0.2919707536964127,-0.06119589271992776,-0.05927689166423333,-0.040268436911235383,-0.046280423157536554,-0.050255343128312036,-0.0931817848491927,-0.04176751830477432,-0.02864157119476274,-0.007741070065220845,-0.014900687608660035,-0.07962629202085114,-0.06327573849993717,-0.0621499417533844,-0.03906703759907981,-0.05108792859406208,-0.045636051686992696,-0.048947384482935896,-0.2720588241739257,-0.0582342442201742,,0.05588958731893967,0.5409744348176249,-0.10220258592684028,6.04,-0.04870312512215558,0.06338028169014098
4207,2016-02-15,0.008064492224117537,0.03944599245422764,0.04516459332983236,0.21212118201785746,0.07306902816857064,0.0225827170526387,0.0,0.01538505004854862,0.022471722828114826,0.031987648237745914,0.09211672473867605,0.026282560615318307,0.10129008035150622,0.041212122029473,-0.002786305530697253,0.06285714285714294,-0.0029411222427982997,0.06320905760369921,0.042911251077848656,0.2666666507720947,0.29938272399848564,0.03961267658841683,0.05699377608686729,0.035058478228681134,0.06545059868916314,0.04115184101873037,0.028985521385883173,0.04364089941622762,0.027397260273972712,0.011954971763191713,0.01745131151896162,0.03878117075278986,0.046675945260339136,0.036473340989939596,0.03860520991665428,0.044061287422307416,0.05276876940401065,0.05298016702648045,0.2857142509593915,0.034650401343245374,,-0.034617896799477466,0.5960631805356306,0.03169778549717761,6.26,-0.033080352527618095,0.0364238410596025
4212,2016-02-22,0.07638891740345732,0.03011692269940025,0.017715517556862848,-0.00740740021233377,0.08053687917113028,0.021335788579801118,0.02917339159041643,0.030303943399062394,0.052631548465861044,0.029341510008740412,0.0458984375,0.03085657990105517,0.101383456554063,0.0442909260852018,0.026945232034960576,0.026852846841828093,0.03947368236057147,0.023302969836604293,0.0,0.01874998183921006,0.032745544477900124,0.036641464342296315,0.031007815693931073,0.032646036496066344,0.019660975569385508,0.023845619957754582,0.040167406156650154,0.0312875875073666,0.007745550428477355,0.003642404316276826,0.007566651616514042,0.05853446927681394,0.033404356987865924,0.050014385784820536,0.028381623037527115,0.029250428735005274,0.04718695044013721,0.0184113618496895,0.05217396802848251,0.06946185471425648,,-0.026720532993125046,0.6058289363005794,0.01613355780022463,6.01,0.03595273382813202,-0.039936102236421744
4217,2016-02-29,0.012213728454423034,-0.019881828430870163,0.016758611663117318,0.04666670163472486,0.025033910877075183,0.01744527996312617,0.00956936889347082,0.02994095610521108,0.007692223517752783,0.013628016626931583,-0.04412050534499512,0.012956401111321458,-0.017111807571123516,0.039670098358432826,0.009830319561155765,-0.0010649464589576052,0.004714041247692924,0.009036160036817176,-0.016535742443126722,0.0928961492338718,0.22510815920477611,0.012648306480541605,0.008329490980650833,0.001710841916350958,-0.0016683349337156539,0.006276372003584552,0.0040096383050660656,0.0005841478113217669,-0.014084507042253502,-0.020394776996813357,-0.017296874280716246,0.008291826228525867,0.01592815086290167,0.01817676379368227,-0.0023725334566586653,0.0,-0.0074158758079084786,-0.002669514104929438,0.13868608565683416,0.015966978023357115,,-0.008028849425052886,0.6085068746460006,0.022711583597956553,6.08,0.00919564320136157,0.011647254575707144
4222,2016-03-07,-0.004782238509176695,-0.020188424473618016,-0.02065543379646595,0.017857197342682873,-0.04070130523854065,-0.003442375748768378,-0.004373208341758472,0.025773926577940642,-0.03214281902870142,-0.014578673278930698,-0.047279214986619134,-0.018393019920622145,-0.05173808494948495,-0.019316422382085086,0.004325893313883444,-0.0015706966060617944,-0.015265116803236167,-0.009727626170366155,-0.02552837826598031,0.0585585019580932,0.04229606815530018,-0.017521307421792698,-0.019650605374975205,-0.023771768802361315,-0.007381316641511204,-0.038029562663562166,-0.028528537773809037,-0.008547008547008517,0.0037735849056603765,0.005782262708419861,0.008142655177116431,-0.01705421084187264,-0.022508021365526543,-0.0046094475633918774,-0.007597913532342626,-0.0027623888266883334,-0.017016448939704554,-0.003034855103632772,-0.01724136277318622,-0.023076942384617327,,0.010554768953533133,0.6081403362659089,0.03773202834964562,5.67,0.03357146110320586,-0.06743421052631582
4227,2016-03-14,0.06741577608840488,-0.015981053835904646,-0.006560472563419073,0.0,0.02638190924344186,-0.016566265060240948,-0.005464475534834423,0.05215495399763315,-0.01369858987153505,0.011946710214240763,0.10243055555555558,-0.019507202218822184,0.01369857005778119,0.003838156540185267,0.0030805715854078652,0.005675907262151947,0.010359885022487081,0.008426908902317232,0.026357547665195158,0.0,0.0,-0.005708047818613227,-0.003386956852819978,-0.020482807220961075,-0.005989988464509821,-0.009896020139038897,0.010337671686021288,-0.004955997384495814,0.0,0.013977206431647682,-0.003658996770906864,0.014705867915830284,0.0069443509352518085,0.013926464657667115,-0.004456841513971077,-0.005115141414368751,-0.0021436717159137864,0.00802805228412895,0.0,-0.011851754931635816,,-0.0008143832612916846,0.6119102021955016,0.03915701834265639,5.02,0.00448114931938548,-0.11463844797178135
4232,2016-03-21,-0.04591834699050068,0.011173227217972093,-0.008337435120605141,-0.02247188904267039,0.05916730693232353,-0.010480869175260588,-0.016620483247395845,-0.008928491422981355,-0.0038314061915377673,-0.012903242346067989,0.03946263643996639,-0.009316072928785335,0.008894497206433094,-0.005359094237689654,-0.010269020089183734,0.002167988598831272,-0.009370432330388256,0.0019589087230731383,-0.0210837378290486,-0.08085099000528984,-0.07206065838792575,-0.011595442998362682,0.0013280516353635363,0.010433299917739891,0.0009897320584886238,-0.0008553700227927896,0.005192926622824112,-0.018061408126200607,0.0031074282332050895,-0.0012426029949320627,-0.010580044136924371,-0.00857754735684968,-0.003524964831298494,-0.01097624571082112,-0.0051020063924294146,-0.00827207261612628,-0.01736297827050781,0.002077890371347424,-0.1351351333935824,0.013572229707065953,,0.004286827747466804,0.5959208607156593,-0.04043565348022016,5.12,-0.007639360807281448,0.019920318725099806
