σ,σ_ss,n_default,degree,interm,eq_r_l,mean_liq,mean_ib_share,mean_eq_req,mean_n_share
1.001,-1.5,2,1.0,1,0.025,0.21031107740663585,0.09507743272914916,0.14760227049022595,0.6231918155111906
1.001,-1.5,1,1.2,1,0.020000076293945325,0.2446045177334323,0.10977254918382293,0.10708324829348648,0.6927373152030312
1.001,-1.5,2,1.3,1,0.020312500000000004,0.6577819925864721,0.12019725476048083,0.16532554376329628,0.5103196022344958
1.001,-1.5,1,1.05,0,0.020007324218750008,0.26425753183877476,0.07143627273828172,0.18076835872534258,0.6311161454312082
1.001,-1.5,1,1.15,0,0.037890625000000004,0.24613673898545158,0.09359425679799732,0.15832271627327618,0.6343007734387773
1.001,-1.5,1,1.05,0,0.026904296875,0.19444413873138122,0.08222568321747176,0.11093598584118755,0.7336890656687476
1.001,-1.5,1,1.1,0,0.033624267578125006,0.22238791201495606,0.11306252270425644,0.12603267448847894,0.5678622439846958
1.001,-1.5,1,1.3,1,0.020019531250000007,0.6953589967969235,0.1571290543427774,0.12465177001801672,0.46513813252218056
1.001,-1.5,1,1.15,0,0.04765625,0.18582226619060552,0.110836267148055,0.10765488078603727,0.6853403517687802
1.001,-1.5,1,1.2,1,0.04453125000000001,0.12664307786265325,0.10706680094649886,0.1307309752378357,0.5509464857685222
1.501,-1.5,2,1.25,1,0.029296875,0.2192396705732466,0.11246998964259435,0.12952308140583998,0.5988608571468299
1.501,-1.5,1,1.2,0,0.0234375,0.26966655134659623,0.11396804758321166,0.13126208668422654,0.5864089710200342
1.501,-1.5,3,1.25,0,0.020117187500000005,0.5005933800473739,0.13369973800451718,0.13805321527730846,0.4444454181479099
1.501,-1.5,5,0.85,0,0.0546875,0.2535446673119797,0.08359707543848995,0.15298773710799113,0.5895472168711895
1.501,-1.5,1,0.95,0,0.03125,0.15378141967792322,0.08790758415499579,0.1768425401056218,0.5682886170003443
1.501,-1.5,3,1.05,0,0.025,0.07406540170481131,0.10318164032065663,0.1171910996670635,0.6617798727779953
1.501,-1.5,1,1.45,1,0.02000122070312501,0.6099072125234202,0.13496127259609497,0.14236081876577072,0.519862186197504
1.501,-1.5,2,0.95,0,0.029443359375,0.17822913022141917,0.09090992039484501,0.1593923890044612,0.5522727132717133
1.501,-1.5,4,0.95,0,0.043383789062500004,0.2186733522933439,0.0847320638262073,0.15705577244569446,0.6407087966981083
1.501,-1.5,6,1.2,1,0.020312500000000004,0.26577707127715716,0.1512620716577663,0.11279062210840347,0.600530599825645
1.501,-1.5,1,1.05,0,0.03125,0.17847798650349572,0.1128812967299314,0.11933932732049293,0.6096397793792585
1.501,-1.5,1,1.45,2,0.031640625,0.44427790975044373,0.11693366493641945,0.11525675438315246,0.5862601988103676
1.501,-1.5,1,1.1,1,0.020703125000000003,0.22496744693019538,0.10215888642723056,0.16430542933724337,0.568337880356952
1.501,-1.5,1,0.9,0,0.04355468750000001,0.15665002216851148,0.06089073936852024,0.17370578101422923,0.6554373951756006
1.501,-1.5,3,1.0,0,0.021630859375000002,0.12607570948851046,0.08351557617394087,0.19927282543799105,0.6187975599471184
