σ,σ_ss,n_default,degree,interm,interm_assets,eq_r_l,mean_liq,mean_ib_share,mean_eq_req,mean_n_share
4.001,-0.0,7,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,8,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,8,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,6,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,3,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,4,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,1,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,3,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,1,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,1,1.5,0,0.0,0.023432922363281247,0.009998440146552573,0.11719569555080249,0.12531204144619118,0.7017475091119418
4.001,-0.0,4,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,5,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,9,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,5,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
4.001,-0.0,7,1.3,0,0.0,0.007006644143257291,0.010028880131887186,0.09458044935080334,0.11120932232995431,0.7930689018064492
